定型文グループ,定型文,メモ,ホットキー
レビューバッジ,![MUST](https://img.shields.io/badge/Review-MUST-red?style=flat-square),MUST,
レビューバッジ,![SHOULD](https://img.shields.io/badge/Review-SHOULD-orange?style=flat-square),SHOULD,
レビューバッジ,![MAY](https://img.shields.io/badge/Review-MAY-gold?style=flat-square),MAY,
レビューバッジ,![IMO](https://img.shields.io/badge/Review-IMO-lightgreen?style=flat-square),IMO,
レビューバッジ,![NITS](https://img.shields.io/badge/Review-nits-blue?style=flat-square),NITS,
レビューバッジ,![QA](https://img.shields.io/badge/Review-QA-silver?style=flat-square),QA,
レビューバッジ,![tweet](https://img.shields.io/badge/Review-tweet-lightblue?style=flat-square),Tweet,
レビューバッジ,![MEMO](https://img.shields.io/badge/Review-MEMO-cornsilk?style=flat-square),MEMO,
レビューバッジ,![ADVICE](https://img.shields.io/badge/Review-ADVICE-cornsilk?style=flat-square),ADVICE,
レビューバッジ,![CONSULTATION](https://img.shields.io/badge/Review-CONSULTATION-cornsilk?style=flat-square),CONSULTATION,
